Item Name,Item Link,Sold Count,Ratings Count,Location,Price
HLW Coffee & Tea Maker French Press With Stainless Steel Filte 350ML,https://www.lazada.com.ph/products/hlw-coffee-tea-maker-french-press-with-stainless-steel-filte-350ml-i3604867023.html,3.4K sold,(514),Metro Manila,₱79
4/6/9/12 Cups Coffee Maker Pot Stainless Steel Mocha Espresso Latte Stovetop Filter Moka Coffee Maker Coffee Pot for Kitchen 200ML/300ML/450ML,https://www.lazada.com.ph/products/46912-cups-coffee-maker-pot-stainless-steel-mocha-espresso-latte-stovetop-filter-moka-coffee-maker-coffee-pot-for-kitchen-200ml300ml450ml-i2806045455.html,5.7K sold,(1789),Metro Manila,₱58.38
350ml Coffee press set Press coffee maker Tea Maker,https://www.lazada.com.ph/products/350ml-coffee-press-set-press-coffee-maker-tea-maker-i3596446311.html,907 sold,(167),Metro Manila,₱74.25
SHANBEN Moka Pot Coffee Maker Coffee N Tea Essentials Espresso（Three sizes available）,https://www.lazada.com.ph/products/shanben-moka-pot-coffee-maker-coffee-n-tea-essentials-espressothree-sizes-available-i3972738796.html,1.2K sold,(465),Bulacan,₱152
600ML Coffee & Tea Maker French Press With Stainless Steel Filter 350ML,https://www.lazada.com.ph/products/600ml-coffee-tea-maker-french-press-with-stainless-steel-filter-350ml-i4347107017.html,192 sold,(39),Bulacan,₱77.42
【24h Delivery】600ML/800ML- High Quality French Press Coffee Maker,https://www.lazada.com.ph/products/24h-delivery600ml800ml-high-quality-french-press-coffee-maker-i4234715433.html,1.6K sold,(213),Metro Manila,₱161.2
350/600ml Heat Resistant Hand-brewed Coffee Maker French Press Kettle/Milk Foam Frother Pot,https://www.lazada.com.ph/products/350600ml-heat-resistant-hand-brewed-coffee-maker-french-press-kettlemilk-foam-frother-pot-i4321379110.html,375 sold,(109),Bulacan,₱96.03
350ML Coffee French Press Mini Glass Coffee Maker Cafeteire,https://www.lazada.com.ph/products/350ml-coffee-french-press-mini-glass-coffee-maker-cafeteire-i3539132322.html,658 sold,(143),Metro Manila,₱92
300ml Glass French Press Coffee Maker Tea Infuser Filter Press Pot,https://www.lazada.com.ph/products/300ml-glass-french-press-coffee-maker-tea-infuser-filter-press-pot-i4236450059.html,366 sold,(70),Metro Manila,₱82.17
1100ML Cold Brew Coffee Maker Iced Coffee Pot Cold Drinks Maker Airtight Seal Silicone with Filter,https://www.lazada.com.ph/products/1100ml-cold-brew-coffee-maker-iced-coffee-pot-cold-drinks-maker-airtight-seal-silicone-with-filter-i4275055219.html,49 sold,(15),Bulacan,₱253.82
